"Time (UTC)","Gender","Age","Geography","Urban Density","Income","Weight","Screener Answer","Answer"
"2012-11-06 10:52:45","Male","55-64","US-SOUTH-NC-Charlotte","Urban","$75,000-$99,999",1.4908022,"Mitt Romney / Paul Ryan, the Republicans","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:52:40","Female","55-64","US-WEST-CA-Tehachapi","Suburban","$25,000-$49,999",0.5122865,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:52:41","Unknown","Unknown","US-NORTHEAST-NJ-Somerville","Suburban","$50,000-$74,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:53:04","Unknown","Unknown","US-SOUTH-TX-San-Antonio","Urban","$25,000-$49,999",,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 10:53:41","Female","55-64","US-SOUTH-LA-Alexandria","Rural","$25,000-$49,999",0.4507708,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 10:53:53","Female","35-44","US-SOUTH-GA-Valdosta","Suburban","$0-$24,999",1.3242941,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:54:24","Male","65+","US-NORTHEAST-NY-Endicott","Suburban","$25,000-$49,999",1.7463493,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:54:30","Female","45-54","US-NORTHEAST-PA-King-of-Prussia","Urban","$50,000-$74,999",1.105404,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:54:32","Unknown","Unknown","US-SOUTH-TN-Sevierville","Rural","$25,000-$49,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:54:41","Unknown","Unknown","US-SOUTH-NC-Mount-Holly","Suburban","$25,000-$49,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:54:42","Unknown","Unknown","US-WEST-NM-Albuquerque","Urban","$25,000-$49,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:54:58","Male","25-34","US","Unknown","Unknown",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:54:48","Male","35-44","US-SOUTH-GA-Roswell","Suburban","$50,000-$74,999",2.063548,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:55:00","Female","18-24","US-WEST-CA-Fontana","Suburban","$25,000-$49,999",0.5860146,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:55:52","Male","18-24","US-WEST-AZ-Gilbert","Urban","$50,000-$74,999",1.177885,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 10:59:33","Male","18-24","US-SOUTH-FL-Ocala","Suburban","$0-$24,999",1.1916284,"Mitt Romney / Paul Ryan, the Republicans","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:59:56","Male","35-44","US-SOUTH-GA-Albany","Suburban","$0-$24,999",2.063548,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:00:37","Male","35-44","US-SOUTH-DE-Hockessin","Suburban","$75,000-$99,999",2.063548,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:00:42","Male","18-24","US-SOUTH-MS-Natchez","Suburban","$25,000-$49,999",1.1916284,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:00:52","Male","25-34","US-SOUTH-TN-Nashville","Suburban","$25,000-$49,999",1.1818841,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:00:58","Female","35-44","US-NORTHEAST-NH-Nashua","Urban","$25,000-$49,999",2.2664681,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:01:09","Unknown","Unknown","US-SOUTH-FL-Miami","Urban","$0-$24,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:01:22","Female","35-44","US-SOUTH-TX-Weslaco","Suburban","$0-$24,999",1.3242941,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:01:40","Female","55-64","US-NORTHEAST-CT-Hartford","Urban","$0-$24,999",0.8150521,"Barack Obama / Joe Biden, the Democrats","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:01:53","Male","25-34","US-SOUTH-NC-Cary","Suburban","$50,000-$74,999",1.1818841,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:02:00","Male","18-24","US-WEST-CA-Sacramento","Urban","$0-$24,999",1.177885,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:02:12","Male","55-64","US-SOUTH-LA-Alexandria","Rural","$25,000-$49,999",1.4908022,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:02:24","Male","45-54","US-MIDWEST-WI-Green-Bay","Suburban","$25,000-$49,999",1.1327092,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:03:12","Male","18-24","US-MIDWEST-OH-Middlefield","Rural","$25,000-$49,999",1.1154767,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:03:12","Female","18-24","US-SOUTH-FL-Tallahassee","Suburban","$50,000-$74,999",0.6743839,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:06:58","Male","45-54","US-SOUTH-NC-Fuquay-Varina","Rural","$50,000-$74,999",1.7143315,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:07:40","Female","25-34","US-SOUTH-LA-New-Orleans","Urban","$25,000-$49,999",1.0065915,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:08:10","Female","55-64","US-MIDWEST-OH-Logan","Rural","$25,000-$49,999",0.3894083,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:08:17","Female","45-54","US-NORTHEAST-RI-West-Warwick","Urban","$25,000-$49,999",1.105404,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:08:39","Female","55-64","US-MIDWEST-MI-Royal-Oak","Urban","$50,000-$74,999",0.3894083,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 11:09:00","Female","65+","US-SOUTH-MD-Dundalk","Urban","$25,000-$49,999",1.0581287,"Mitt Romney / Paul Ryan, the Republicans","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:09:12","Female","18-24","US-WEST-CA-Chico","Suburban","$25,000-$49,999",0.5860146,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:09:33","Male","65+","US-MIDWEST-MN-Eden-Prairie","Urban","$75,000-$99,999",1.0142414,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:10:03","Male","18-24","US-SOUTH-FL-Orlando","Urban","$25,000-$49,999",1.1916284,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:10:27","Female","45-54","US-MIDWEST-IN-Decatur","Rural","$25,000-$49,999",0.5425941,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:10:25","Female","25-34","US-NORTHEAST-NJ-Collingswood","Urban","$25,000-$49,999",0.9986669,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:14:12","Male","35-44","US-MIDWEST-IN-Crown-Point","Suburban","$50,000-$74,999",1.3700423,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:14:38","Female","Unknown","US-SOUTH-NC-Concord","Suburban","$50,000-$74,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:15:02","Female","55-64","US-SOUTH-WV-Huntington","Suburban","$25,000-$49,999",0.4507708,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:15:18","Male","55-64","US","Urban","$25,000-$49,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:15:17","Unknown","Unknown","US-MIDWEST-OH-Marysville","Rural","$50,000-$74,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:15:48","Male","65+","US-SOUTH-FL-Villas","Urban","$25,000-$49,999",1.2413651,"Mitt Romney / Paul Ryan, the Republicans","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:15:58","Male","25-34","US-NORTHEAST-PA-Philadelphia","Urban","$25,000-$49,999",1.1159799,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:16:05","Unknown","Unknown","US-SOUTH-FL-Fort-Lauderdale","Urban","$25,000-$49,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:16:00","Male","65+","US-SOUTH-TN-Germantown","Urban","$75,000-$99,999",1.2413651,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 11:16:07","Female","55-64","US-SOUTH-AL-Dothan","Suburban","$25,000-$49,999",0.4507708,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:16:06","Female","55-64","US-MIDWEST-OH-Van-Wert","Suburban","$25,000-$49,999",0.3894083,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:16:38","Female","45-54","US-SOUTH-LA-Alexandria","Rural","$25,000-$49,999",0.8288947,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 11:16:46","Female","55-64","US","Urban","$75,000-$99,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:16:49","Unknown","Unknown","US-MIDWEST-IL-Moline","Urban","$25,000-$49,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:20:55","Male","35-44","US-WEST-WA-Tacoma","Urban","$25,000-$49,999",1.5133354,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:21:05","Male","45-54","US-SOUTH-TX-Houston","Suburban","$50,000-$74,999",1.7143315,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:21:09","Female","55-64","US-SOUTH-MS-Natchez","Suburban","$25,000-$49,999",0.4507708,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:21:15","Female","55-64","US-SOUTH-OK-Tulsa","Suburban","$0-$24,999",0.4507708,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:21:16","Female","55-64","US-WEST-CA-Sacramento","Urban","$0-$24,999",0.5122865,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:21:18","Female","55-64","US-SOUTH-NC-Cary","Suburban","$50,000-$74,999",0.4507708,"Third party candidate / Undecided","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:21:45","Female","55-64","US-SOUTH-MS-Natchez","Suburban","$25,000-$49,999",0.4507708,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:21:43","Female","Unknown","US-NORTHEAST-NY-Albany","Urban","$25,000-$49,999",,"Third party candidate / Undecided","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 11:22:34","Male","25-34","US-NORTHEAST-NY-New-York","Suburban","$25,000-$49,999",1.1159799,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 11:23:18","Female","55-64","US-MIDWEST-OH-Granville-South","Rural","$50,000-$74,999",0.3894083,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
